date,group,period,ic,pvalue
2023-05-04,A,10,-0.12967032967032965,0.6586192763211781
2023-05-11,A,10,0.5164835164835165,0.05863716344127844
2023-05-18,A,10,0.4769230769230769,0.0846484341946868
2023-05-25,A,10,0.2967032967032967,0.30296672383870205
2023-06-01,A,10,-0.01978021978021978,0.9464892274080114
2023-06-08,A,10,-0.1912087912087912,0.5125839704707784
2023-06-15,A,10,0.23076923076923075,0.4273358616774501
2023-06-29,A,10,0.4813186813186813,0.08141829504280494
2023-07-06,A,10,0.0857142857142857,0.7707850311186757
2023-07-13,A,10,-0.002197802197802198,0.9940505286658998
2023-07-20,A,10,-0.09285714285714285,0.742045009907367
2023-07-27,A,10,0.024999999999999998,0.9295289708192378
2023-08-03,A,10,-0.03214285714285714,0.9094621170945906
2023-08-10,A,10,0.2607142857142857,0.34797945986279355
2023-08-17,A,10,0.5499999999999999,0.033655357815007086
2023-08-24,A,10,0.175,0.5327481481378592
2023-08-31,A,10,0.175,0.5327481481378592
2023-09-07,A,10,-0.2678571428571428,0.3344436005123538
2023-09-14,A,10,0.07142857142857141,0.8002959873970544
2023-09-21,A,10,0.2821428571428571,0.30828445682005556
2023-09-28,A,10,-0.05357142857142857,0.8496099367776072
2023-10-12,A,10,0.25357142857142856,0.3618161038158896
2023-10-19,A,10,-0.049999999999999996,0.859540943467457
2023-10-26,A,10,-0.049999999999999996,0.859540943467457
2023-11-02,A,10,0.41785714285714276,0.1211725360218785
2023-11-09,A,10,0.039285714285714285,0.8894459296739485
2023-11-16,A,10,0.2607142857142857,0.34797945986279355
2023-11-23,A,10,-0.3321428571428571,0.2264717590707243
2023-11-30,A,10,-0.3857142857142856,0.1556307945859602
2023-12-07,A,10,0.3607142857142856,0.18655437415416354
2023-12-14,A,10,0.6249999999999999,0.012727453511233668
2023-12-21,A,10,0.18214285714285713,0.5158816817070392
2023-12-28,A,10,-0.5142857142857142,0.04983923347142065
2024-01-04,A,10,-0.34642857142857136,0.2058959920935512
2024-01-11,A,10,-0.14285714285714282,0.6115222287644655
2024-01-18,A,10,-0.4428571428571427,0.0982940655468714
2024-01-25,A,10,-0.41785714285714276,0.1211725360218785
2024-02-01,A,10,0.42499999999999993,0.11429547548052224
2024-02-08,A,10,0.3428571428571428,0.21092379341475206
2024-02-22,A,10,0.13928571428571426,0.6205460876279014
2024-02-29,A,10,-0.049999999999999996,0.859540943467457
2024-03-07,A,10,-0.3178571428571428,0.24829056581701822
2024-03-14,A,10,0.13928571428571426,0.6205460876279014
2024-03-21,A,10,0.34642857142857136,0.2058959920935512
2024-03-28,A,10,-0.6035714285714285,0.01720013806879533
2024-04-11,A,10,0.06470588235294117,0.8118214513105935
2024-04-18,A,10,0.5735294117647058,0.020191038046523092
2024-04-25,A,10,-0.07352941176470588,0.7866792491258565
2024-05-09,A,10,-0.25,0.3503914791072017
2024-05-16,A,10,0.08823529411764705,0.7452220943671326
2024-05-23,A,10,0.2588235294117647,0.3330723066336081
2024-05-30,A,10,0.7029411764705883,0.002386952669300933
2024-06-06,A,10,-0.15294117647058825,0.5717446192454616
2024-06-13,A,10,-0.07941176470588236,0.770025319039825
2024-06-20,A,10,0.032352941176470584,0.9053195187918449
2024-06-27,A,10,-0.17352941176470588,0.5204075144487408
2024-07-04,A,10,0.02941176470588235,0.9138955872505001
2024-07-11,A,10,0.1647058823529412,0.5421481352010779
2024-07-18,A,10,0.7176470588235294,0.0017475350604702381
2024-07-25,A,10,0.1486387451705782,0.5827355195664735
2024-08-01,A,10,0.21764705882352942,0.41808684161130294
2024-08-08,A,10,0.4323529411764706,0.09442103753478695
2024-08-15,A,10,0.032352941176470584,0.9053195187918449
2024-08-22,A,10,0.10882352941176471,0.688288293957414
2024-08-29,A,10,0.28823529411764703,0.27898445973708325
2024-09-05,A,10,-0.488235294117647,0.05501502977813759
2024-09-12,A,10,-0.3411764705882353,0.1959326248678891
2024-09-19,A,10,-0.26176470588235295,0.3274104118125859
2024-09-26,A,10,-0.19999999999999998,0.45768790507519974
2024-10-10,A,10,-0.6441176470588235,0.007081524086582877
2024-10-17,A,10,-0.6088235294117647,0.012315203198246456
2024-10-24,A,10,-0.538235294117647,0.031493228205838324
2024-10-31,A,10,-0.5882352941176471,0.016539722195378158
2024-11-07,A,10,0.10882352941176471,0.688288293957414
2024-11-14,A,10,0.6558823529411765,0.005800736962231502
2024-11-21,A,10,-0.2352941176470588,0.38035580118865675
2024-11-28,A,10,-0.12058823529411765,0.6564245147485952
2024-12-05,A,10,-0.0823529411764706,0.761733078752474
2024-12-12,A,10,0.23823529411764705,0.3742541297279883
2019-08-15,A,20,0.6785714285714287,0.0937502539598313
2019-08-22,A,20,-0.38095238095238104,0.3518125531175647
2019-08-29,A,20,0.6666666666666669,0.07098765432098751
2019-09-05,A,20,0.4285714285714286,0.2894032248467901
2019-09-12,A,20,0.4285714285714286,0.2894032248467901
2019-09-19,A,20,-0.14285714285714288,0.735764859879812
2019-09-26,A,20,-0.09523809523809526,0.8225054302036114
2019-10-10,A,20,-0.6666666666666669,0.07098765432098751
2019-10-17,A,20,-0.3571428571428572,0.3851206435562562
2019-10-24,A,20,-0.2380952380952381,0.5701563208157683
2019-10-31,A,20,0.04761904761904763,0.9108491685195836
2019-11-07,A,20,0.6428571428571429,0.08555889101267318
2019-11-14,A,20,0.4285714285714286,0.2894032248467901
2019-11-21,A,20,0.2142857142857143,0.6103444156452669
2019-11-28,A,20,-0.3,0.4328453267094823
2019-12-05,A,20,-0.7833333333333333,0.012519873019449882
2019-12-12,A,20,-0.6,0.0876228290414024
2019-12-19,A,20,-0.2333333333333333,0.5456987782182727
2019-12-26,A,20,-0.09999999999999999,0.797971695234851
2020-01-02,A,20,0.016666666666666666,0.9660548039946861
2020-01-09,A,20,0.2333333333333333,0.5456987782182727
2020-01-16,A,20,-0.2333333333333333,0.5456987782182727
2020-01-23,A,20,-0.7666666666666667,0.01594401657897401
2020-02-06,A,20,0.25,0.5164895523012262
2020-02-13,A,20,0.33333333333333337,0.38071318167686347
2020-02-20,A,20,0.11666666666666665,0.7650079429261462
2020-02-27,A,20,0.5833333333333334,0.09918581647988323
2020-03-05,A,20,0.049999999999999996,0.8983528043506301
2020-03-12,A,20,0.3,0.4328453267094823
2020-03-19,A,20,-0.08333333333333334,0.831214097710308
2020-03-26,A,20,-0.13333333333333333,0.7323675052362975
2020-04-02,A,20,0.016666666666666666,0.9660548039946861
2020-04-09,A,20,-0.5666666666666667,0.11163298761149111
2020-04-16,A,20,-0.21666666666666667,0.5755148957119259
2020-04-23,A,20,-0.5166666666666667,0.1543901209862251
2020-04-30,A,20,-0.25,0.5164895523012262
2020-05-07,A,20,-0.6666666666666667,0.04986723056888511
2020-05-14,A,20,0.0,1.0
2020-05-21,A,20,-0.11666666666666665,0.7650079429261462
2020-05-28,A,20,-0.45,0.2242161074923366
2020-06-04,A,20,0.0,1.0
2020-06-11,A,20,0.25,0.5164895523012262
2020-06-18,A,20,0.39999999999999997,0.2861051019083129
2020-07-02,A,20,-0.2333333333333333,0.5456987782182727
2020-07-09,A,20,-0.06666666666666667,0.8646897846262037
2020-07-16,A,20,-0.15,0.7000942309691419
2020-07-23,A,20,-0.33333333333333337,0.38071318167686347
2020-07-30,A,20,0.03333333333333333,0.9321567355405039
2020-08-06,A,20,0.3666666666666667,0.33173980143301507
2020-08-13,A,20,0.3,0.4328453267094823
2020-08-20,A,20,0.15,0.7000942309691419
2020-08-27,A,20,-0.16666666666666669,0.668231040071504
2020-09-03,A,20,-0.11666666666666665,0.7650079429261462
2020-09-10,A,20,0.5166666666666667,0.1543901209862251
2020-09-17,A,20,0.0,1.0
2020-09-24,A,20,0.03333333333333333,0.9321567355405039
2020-10-15,A,20,0.5333333333333333,0.13922686754397814
2020-10-22,A,20,-0.06666666666666667,0.8646897846262037
2020-10-29,A,20,-0.06666666666666667,0.8646897846262037
2020-11-05,A,20,-0.31666666666666665,0.4063970144863861
2020-11-12,A,20,-0.25,0.5164895523012262
2020-11-19,A,20,-0.08333333333333334,0.831214097710308
2020-11-26,A,20,0.0,1.0
2020-12-03,A,20,0.08333333333333334,0.831214097710308
2020-12-10,A,20,-0.8333333333333333,0.005265691029161747
2020-12-17,A,20,-0.5833333333333334,0.09918581647988323
2020-12-24,A,20,-0.5499999999999999,0.12497678418833198
2020-12-31,A,20,-0.2833333333333333,0.46003032896571994
2021-01-07,A,20,0.39999999999999997,0.2861051019083129
2021-01-14,A,20,0.13333333333333333,0.7323675052362975
2021-01-21,A,20,0.43333333333333335,0.24395243588005167
2021-01-28,A,20,-0.38333333333333336,0.30849527238037144
2021-02-04,A,20,-0.049999999999999996,0.8983528043506301
2021-02-18,A,20,0.25,0.5164895523012262
2021-02-25,A,20,-0.18333333333333335,0.6368198117628943
2021-03-04,A,20,0.3666666666666667,0.33173980143301507
2021-03-11,A,20,0.7666666666666667,0.01594401657897401
2021-03-18,A,20,0.8333333333333333,0.005265691029161747
2021-03-25,A,20,0.75,0.019942126131992522
2021-04-01,A,20,0.16666666666666669,0.668231040071504
2021-04-08,A,20,0.06666666666666667,0.8646897846262037
2021-04-15,A,20,0.19999999999999998,0.6059012741795533
2021-04-22,A,20,-0.45,0.2242161074923366
2021-04-29,A,20,-0.05454545454545454,0.8810361811618526
2021-05-06,A,20,-0.09090909090909088,0.8027717312071619
2021-05-13,A,20,0.4545454545454545,0.186904810349332
2021-05-20,A,20,0.6454545454545455,0.03196279932801745
2021-05-27,A,20,-0.009090909090909092,0.9788365001441937
2021-06-03,A,20,-0.39090909090909093,0.2345400670951943
2021-06-10,A,20,-0.5363636363636364,0.08895341813596276
2021-06-17,A,20,-0.41818181818181827,0.20057021703405067
2021-06-24,A,20,-0.45454545454545453,0.16014543725525882
2021-07-01,A,20,-0.5909090909090909,0.05557560428877463
2021-07-08,A,20,-0.690909090909091,0.018565033381595004
2021-07-15,A,20,-0.5818181818181819,0.06041989621564832
2021-07-22,A,20,-0.3916083916083916,0.2080634636953532
2021-07-29,A,20,-0.5524475524475525,0.06251148327961512
2021-08-05,A,20,0.1258741258741259,0.6966831093957659
2021-08-12,A,20,-0.4055944055944056,0.19083587400450033
2021-08-19,A,20,-0.22377622377622378,0.48445166145539886
2021-08-26,A,20,0.5034965034965035,0.09515736659412469
2021-09-02,A,20,0.6853146853146854,0.013905968814362752
2021-09-09,A,20,0.27272727272727276,0.3910967709418962
2021-09-16,A,20,0.41958041958041964,0.1745190081300594
2021-09-23,A,20,0.4125874125874127,0.18256397857316675
2021-09-30,A,20,0.4545454545454546,0.13765791634772945
2021-10-14,A,20,0.4265734265734266,0.16669998762494498
2021-10-21,A,20,-0.055944055944055944,0.8628980736949712
2021-10-28,A,20,0.5034965034965035,0.09515736659412469
2021-11-04,A,20,0.22377622377622378,0.48445166145539886
2021-11-11,A,20,0.41958041958041964,0.1745190081300594
2021-11-18,A,20,-0.14685314685314685,0.6487957097846664
2021-11-25,A,20,-0.23076923076923078,0.470531995381542
2021-12-02,A,20,0.2657342657342658,0.40383308831471165
2021-12-09,A,20,-0.16083916083916086,0.6175234895401425
2021-12-16,A,20,-0.2657342657342658,0.40383308831471165
2021-12-23,A,20,-0.6783216783216784,0.0153173290532817
2021-12-30,A,20,-0.23076923076923078,0.470531995381542
2022-01-06,A,20,0.013986013986013986,0.9655902689187795
2022-01-13,A,20,-0.18881118881118883,0.5567370561768314
2022-01-20,A,20,0.5034965034965035,0.09515736659412469
2022-01-27,A,20,0.08391608391608392,0.7954145018538977
2022-02-10,A,20,0.06993006993006995,0.8290236405313092
2022-02-17,A,20,0.18181818181818185,0.5717012385276553
2022-02-24,A,20,-0.4895104895104896,0.106252371759346
2022-03-03,A,20,0.32867132867132864,0.2969041156887642
2022-03-10,A,20,0.34965034965034975,0.2652387868927897
2022-03-17,A,20,0.31468531468531474,0.31913878550330455
2022-03-24,A,20,0.2657342657342658,0.40383308831471165
2022-03-31,A,20,-0.1958041958041958,0.5419358857313173
2022-04-07,A,20,-0.027972027972027972,0.9312343512018808
2022-04-14,A,20,0.6923076923076924,0.012593030496094107
2022-04-21,A,20,0.37762237762237766,0.22620604493502663
2022-04-28,A,20,0.5524475524475525,0.06251148327961512
