date,from_regime,to_regime,pre_5d_ret,post_5d_ret,pre_10d_ret,post_10d_ret
2023-08-23,弱牛,熊市,-0.012586902061241356,-0.004336643652708694,-0.04027500606683765,-0.0036913567381070544
2024-03-01,熊市,弱牛,0.006695937778182004,-0.0011993296387436958,0.02261353280397682,-0.0022511607893856977
2024-03-29,弱牛,强牛,-0.0286203158540268,0.029121303159250544,-0.012215748762595569,0.02096105108145896
2024-04-26,强牛,震荡,-0.015734967795366428,0.013046594107559706,-0.009989771143907422,0.014948359750896811
2024-05-13,震荡,弱牛,0.011710088654234951,0.009410449604297044,0.026325247295034604,0.00027394934055635645
2024-05-30,弱牛,震荡,-0.019048300883486413,-0.011415768769666101,-0.004871507505238903,-0.011658612958533987
2024-06-25,震荡,熊市,-0.004614862393236496,-0.004010430301437107,-0.000758521809186008,-0.00410131206261477
2024-10-11,熊市,弱牛,0.13632584907773704,0.027318614916700734,0.1843280376521409,0.029176006322612746
2024-11-14,弱牛,强牛,0.04268763852256452,-0.06392513758495455,0.07437477375804702,-0.08465385287629279
2024-12-11,强牛,震荡,0.009316927625392268,-0.017200859966883697,0.018378860602739744,-0.01758067470252911
2025-01-09,震荡,熊市,-0.014440540376847166,-0.0021790667124643726,-0.024816949850559933,-0.005105182823808563
2025-02-19,熊市,震荡,-0.024085477631135777,0.056195057078843424,0.008815263948477203,0.023720107416626335
2025-03-05,震荡,熊市,-0.024907533423600747,0.017361386050097072,0.018423901116784935,0.018988743389139362
2025-03-28,熊市,震荡,0.00036714880123467353,-0.030346855452658028,0.009045657306236077,-0.0172664142024459
2025-04-14,震荡,熊市,-0.014450913654901476,0.01245827944913791,-0.01864577761028463,0.006672993815978412
2025-07-07,熊市,弱牛,0.01038330231992457,0.019206595197308496,0.034558908858923876,0.04782290908823217
2025-08-01,弱牛,强牛,0.0012317729153964452,0.014169006578536592,0.034927635849658745,0.07514016189925188
2025-10-21,强牛,弱牛,-0.03237002872439121,0.002378986111657211,-0.03923787648931809,-0.008426920984617725
2025-11-21,弱牛,震荡,-0.011266003422984783,-0.020401731964005854,0.00012458254941882796,-0.012879589192580254
2025-12-19,震荡,熊市,0.009695589907756763,0.04420859289843826,0.020560347413918878,0.08470075796509036
2025-12-30,熊市,震荡,0.026219012619615456,0.0426945113639573,0.051216735432995986,0.07705900216253359
2026-01-15,震荡,弱牛,0.04077336612037863,0.019120571164776057,0.07674906058712361,0.055726544324836036
2026-02-06,弱牛,震荡,-0.058213703778416614,0.0010032090663021354,-0.021607730618356635,0.058066599556898524
2026-03-25,震荡,熊市,-0.02444429322103836,0.0007071253842597658,-0.03692248748773441,-0.001449573220764555
2026-04-27,熊市,弱牛,-0.003967514226353441,0.0683858689811615,0.012544002201814064,0.09858136009347707
2026-05-29,弱牛,强牛,0.03058718562256213,-0.0247949972241579,0.04084580500179069,-0.03501726820241424
2026-06-12,强牛,震荡,-0.01691685828167533,0.016180326345742513,-0.0352048515981761,0.016180326345742513
