date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2022-07-14,516160.SH,SELL,4.2769344,100400,429404.21376,128.821264128,0.28599221789883267,调出候选列表
2022-07-14,512400.SH,SELL,1.2334244865557,291600,359666.58027964213,107.89997408389263,0.07784431137728695,调出候选列表
2022-07-14,159928.SZ,SELL,1.114,321900,358596.60000000003,107.57898,-0.012411347517730311,调出候选列表
2022-07-14,512010.SH,SELL,0.53,649500,344235.0,103.27049999999998,-0.05187835420393564,调出候选列表
2022-07-21,515880.SH,BUY,0.3168996835443,1176600,372864.16765822336,111.859250297467,0.0,行业买入
2022-07-21,516110.SH,BUY,1.229,303300,372755.7,111.82670999999999,0.0,行业买入
2022-07-28,515880.SH,SELL,0.30990189873418,1176600,364630.5740506362,109.38917221519085,-0.02208201892742422,调出候选列表
2022-07-28,516110.SH,SELL,1.244,303300,377305.2,113.19156,0.012205044751830676,调出候选列表
2022-08-04,516110.SH,BUY,1.238,300300,371771.4,111.53142,0.0,行业买入
2022-08-11,516110.SH,SELL,1.195,300300,358858.5,107.65754999999999,-0.03473344103392563,调出候选列表
2022-08-11,512480.SH,BUY,1.053,350000,368550.0,110.56499999999998,0.0,行业买入
2022-08-11,512660.SH,BUY,1.249,295100,368579.9,110.57397,0.0,行业买入
2022-08-11,515880.SH,BUY,0.32123164556962,1147400,368581.19012658193,110.57435703797456,0.0,行业买入
2022-08-25,512480.SH,STOP_LOSS,0.949,350000,332150.0,99.645,-0.09876543209876543,"固定止损: 成本盈亏-9.88%, 高点回撤-10.47%"
2022-08-25,512660.SH,SELL,1.173,295100,346152.3,103.84568999999999,-0.06084867894315457,调出候选列表
2022-08-25,515880.SH,SELL,0.30923544303797,1147400,354816.7473417668,106.44502420253002,-0.03734439834026265,调出候选列表
2022-09-01,159865.SZ,BUY,0.875,400200,350175.0,105.0525,0.0,行业买入
2022-09-15,159865.SZ,SELL,0.86,400200,344172.0,103.2516,-0.017142857142857158,调出候选列表
2022-10-27,515230.SH,BUY,0.781,446400,348638.4,104.59152,0.0,行业买入
2022-10-27,512660.SH,BUY,1.206,289100,348654.6,104.59637999999998,0.0,行业买入
2022-11-03,515880.SH,BUY,0.28657594936709,1225800,351284.79873417894,105.38543962025368,0.0,行业买入
2022-11-10,512400.SH,BUY,1.133575837644,305000,345740.63048141997,103.72218914442598,0.0,行业买入
2022-11-17,512660.SH,SELL,1.163,289100,336223.3,100.86698999999999,-0.035655058043117686,调出候选列表
2022-11-17,512000.SH,BUY,0.426,788800,336028.8,100.80863999999998,0.0,行业买入
2022-11-24,515230.SH,SELL,0.804,446400,358905.60000000003,107.67168,0.029449423815621024,调出候选列表
2022-11-24,515880.SH,SELL,0.289575,1225800,354961.03500000003,106.4883105,0.010465116279064875,调出候选列表
2022-11-24,512400.SH,SELL,1.1061664046095,305000,337380.7534058975,101.21422602176925,-0.02417962003448046,调出候选列表
2022-11-24,512480.SH,BUY,0.88,393000,345840.0,103.752,0.0,行业买入
2022-11-24,512800.SH,BUY,0.51428925154755,672400,345808.09274057264,103.74242782217178,0.0,行业买入
2022-11-24,512980.SH,BUY,0.576,600400,345830.39999999997,103.74911999999998,0.0,行业买入
2022-12-01,512480.SH,SELL,0.878,393000,345054.0,103.5162,-0.002272727272727275,调出候选列表
2022-12-01,159996.SZ,BUY,1.019,349700,356344.3,106.90328999999998,0.0,行业买入
2022-12-15,512000.SH,SELL,0.4315,788800,340367.2,102.11016,0.012910798122065739,调出候选列表
2022-12-15,159928.SZ,BUY,1.064,321200,341756.80000000005,102.52704,0.0,行业买入
2022-12-22,512800.SH,SELL,0.52929769274057,672400,355899.7685987593,106.76993057962778,0.029182879377428292,调出候选列表
2022-12-22,512980.SH,SELL,0.577,600400,346430.8,103.92924,0.0017361111111111127,调出候选列表
2022-12-22,159996.SZ,SELL,1.015,349700,354945.49999999994,106.48364999999997,-0.003925417075564283,调出候选列表
2023-01-05,159928.SZ,SELL,1.027,321200,329872.39999999997,98.96171999999999,-0.034774436090225694,调出候选列表
2023-01-05,512800.SH,BUY,0.55181035453011,628300,346702.44575126807,104.0107337253804,0.0,行业买入
2023-01-05,512010.SH,BUY,0.482,719300,346702.6,104.01077999999998,0.0,行业买入
2023-01-12,512980.SH,BUY,0.624,555200,346444.8,103.93343999999999,0.0,行业买入
2023-01-12,515230.SH,BUY,0.81,427800,346518.0,103.9554,0.0,行业买入
2023-02-09,512800.SH,SELL,0.53880303882949,628300,338529.9492965686,101.55898478897056,-0.023572076155939942,调出候选列表
2023-02-09,512010.SH,SELL,0.503,719300,361807.9,108.54236999999999,0.043568464730290496,调出候选列表
2023-02-09,159865.SZ,BUY,0.815,429400,349961.0,104.9883,0.0,行业买入
2023-02-09,512400.SH,BUY,1.1776267121639,297100,349872.89618389466,104.96186885516839,0.0,行业买入
2023-02-16,159865.SZ,SELL,0.806,429400,346096.4,103.82892,-0.011042944785275947,调出候选列表
2023-02-16,512400.SH,SELL,1.1609852706786,297100,344928.72391861206,103.47861717558361,-0.014131338320885402,调出候选列表
2023-02-16,159996.SZ,BUY,1.11,311100,345321.00000000006,103.59630000000001,0.0,行业买入
2023-02-16,512480.SH,BUY,0.924,373800,345391.2,103.61735999999999,0.0,行业买入
2023-02-23,512480.SH,SELL,0.875,373800,327075.0,98.12249999999999,-0.05303030303030307,调出候选列表
2023-02-23,515880.SH,BUY,0.30856898734177,1059300,326867.128291137,98.06013848734109,0.0,行业买入
2023-03-02,512980.SH,SELL,0.697,555200,386974.39999999997,116.09231999999997,0.11698717948717942,调出候选列表
2023-03-02,515230.SH,SELL,0.948,427800,405554.39999999997,121.66631999999998,0.17037037037037023,调出候选列表
2023-03-09,159996.SZ,SELL,1.102,311100,342832.2,102.84966,-0.007207207207207213,调出候选列表
2023-03-09,512660.SH,BUY,1.163,316000,367508.0,110.2524,0.0,行业买入
2023-03-16,512660.SH,SELL,1.133,316000,358028.0,107.40839999999999,-0.025795356835769584,调出候选列表
2023-03-16,515230.SH,BUY,0.943,387200,365129.6,109.53887999999998,0.0,行业买入
2023-03-23,512980.SH,BUY,0.783,481300,376857.9,113.05736999999999,0.0,行业买入
2023-03-23,512480.SH,BUY,0.933,403900,376838.7,113.05161,0.0,行业买入
2023-04-20,515230.SH,SELL,1.076,387200,416627.2,124.98816,0.14103923647932146,调出候选列表
2023-04-20,159996.SZ,BUY,1.127,368200,414961.4,124.48841999999999,0.0,行业买入
2023-04-27,515880.SH,SELL,0.34589050632911,1059300,366401.81335442624,109.92054400632786,0.12095032397407712,调出候选列表
2023-04-27,512480.SH,SELL,0.936,403900,378050.4,113.41512,0.0032154340836012887,调出候选列表
2023-04-27,159996.SZ,SELL,1.097,368200,403915.39999999997,121.17461999999998,-0.02661934338952975,调出候选列表
2023-04-27,512800.SH,BUY,0.54130444569499,735700,398237.68069780414,119.47130420934123,0.0,行业买入
2023-05-04,512980.SH,SELL,0.975,481300,469267.5,140.78025,0.2452107279693486,调出候选列表
2023-05-11,512980.SH,BUY,0.947,434400,411376.8,123.41303999999998,0.0,行业买入
2023-05-17,512980.SH,STOP_LOSS,0.853,434400,370543.2,111.16296,-0.09926082365364305,"固定止损: 成本盈亏-9.93%, 高点回撤-10.59%"
2023-05-18,512000.SH,BUY,0.4535,881800,399896.3,119.96888999999999,0.0,行业买入
2023-05-25,512800.SH,SELL,0.53830275745639,735700,396029.33866066614,118.80880159819984,-0.005545286506461465,调出候选列表
2023-05-25,512000.SH,SELL,0.4295,881800,378733.1,113.61992999999998,-0.05292171995589861,调出候选列表
2023-06-08,515880.SH,BUY,0.37321518987342,1044800,389935.2303797492,116.98056911392476,0.0,行业买入
2023-06-15,515230.SH,BUY,1.057,368800,389821.6,116.94647999999998,0.0,行业买入
2023-06-15,516110.SH,BUY,1.005,387800,389738.99999999994,116.92169999999997,0.0,行业买入
2023-06-15,159996.SZ,BUY,1.126,346200,389821.19999999995,116.94635999999997,0.0,行业买入
