period,regime,total_return,cagr,max_drawdown,sharpe,calmar,volatility,monthly_win_rate,avg_industry_pct,avg_defense_pct,avg_cash_pct,avg_num_positions,num_trades,total_commission,days,scenario
研究期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,D
研究期,熊市,0.3942391438523538,0.11600601580330094,-0.13805492652780935,0.8504888869520254,0.8402888525671922,0.14153830951907503,0.4444444444444444,0.49315690265966383,0.0,0.5068430973403362,1.9672131147540983,237,23619.820447128288,427,D
研究期,震荡,0.48357075988748877,0.1414494882639734,-0.15576301285177702,0.4578604506440034,0.9081070382130817,0.22123670475762028,0.5,0.6900251912429578,0.0,0.30997480875704225,2.757396449704142,241,23291.31929148217,169,D
验证期,弱牛,0.406674840530693,0.20115662620541475,-0.09581463191929207,0.501453689574202,2.0994353594642603,0.2348646177028187,0.3333333333333333,0.9277163548258021,0.03877259645189557,0.0335110487223024,4.830985915492958,212,17974.79147008709,71,A
验证期,强牛,0.3081971442743807,0.15094042434150956,-0.1310566621929897,1.5222817429420934,1.1517188200569284,0.21542937552014915,0.75,0.6858338271685374,0.15327779317119636,0.16088837966026637,4.212765957446808,218,18672.630465047692,94,A
验证期,熊市,0.04442806804389132,0.029396811923559252,-0.17332565394909127,0.6563656252413652,0.16960450604844451,0.18728635715611874,0.25,0.36151344741514474,0.21796071670892977,0.4205258358759255,2.9014598540145986,173,14763.362623517052,274,A
验证期,震荡,0.2686814840770335,0.12718865348420616,-0.0342338406499682,-0.752279456212707,3.715290223632104,0.09637669876793292,0.6,0.392739282031443,0.22709649639956292,0.3801642215689941,3.111111111111111,231,19847.551742531883,45,A
验证期,弱牛,0.3463937841225415,0.17322825315170642,-0.09317940935432814,0.5486151479045946,1.8590829707127785,0.2040855348483811,0.3333333333333333,0.7701741419095094,0.0,0.22982585809049058,3.732394366197183,139,11852.55265159127,71,B
验证期,强牛,0.24862690626577066,0.12321106970370166,-0.11405730871426917,1.3009193198459923,1.0802558037938985,0.19969062681203048,0.75,0.6352435192139594,0.0,0.36475648078604056,3.0851063829787235,145,12533.919553828186,94,B
验证期,熊市,0.031753757361584256,0.021053836792407132,-0.16203088601567825,0.6119427850593017,0.1299371824108272,0.16299940335944524,0.3125,0.3353373451312956,0.0,0.6646626548687044,1.6496350364963503,112,9582.079962215626,274,B
验证期,震荡,0.21845660084929364,0.10451335850863908,-0.02954101326083675,-0.5729392378524731,3.537907030670306,0.09357224880058936,0.6,0.3842389622074126,0.0,0.6157610377925874,1.8888888888888888,155,13453.038592797328,45,B
验证期,弱牛,0.37422495122916444,0.1861929180933446,-0.09393444832188104,0.6416478174491317,1.9821579986856954,0.20285092640132182,0.3333333333333333,0.7682954468257736,0.17065453594124433,0.061050017232982305,4.732394366197183,169,14498.265253149435,71,C
验证期,强牛,0.2716971435741782,0.13402331640669618,-0.11310152225368567,1.4434342956977237,1.184982427611214,0.2016032508151663,0.75,0.6343715824786555,0.14220036927713203,0.22342804824421245,3.925531914893617,177,15349.511498624957,94,C
验证期,熊市,0.035411349634347555,0.02346496971612977,-0.15971872348723526,0.6222215005199994,0.14691433292105602,0.16253492452273982,0.3125,0.33518756580223663,0.16920734074323915,0.4956050934545242,2.562043795620438,135,11840.210049903304,274,C
验证期,震荡,0.2430678248300029,0.11568159463310557,-0.029310996903992085,-0.4243683250100233,3.9466960135139595,0.09348164357709897,0.6,0.3841664216649671,0.16552458352757543,0.45030899480745745,2.888888888888889,187,16306.413477441642,45,C
验证期,弱牛,0.42554804299894,0.20978623234167837,-0.11484931259581153,0.48995355668021223,1.8266215756987396,0.2432037268379705,0.3333333333333333,0.9335826825223017,0.0,0.06641731747769829,3.732394366197183,139,15693.983132927266,71,D
验证期,强牛,0.3056547173679496,0.14976940449735254,-0.13686426444976973,1.3760562286449007,1.0942915237915818,0.23911964218064916,0.75,0.7683677158865926,0.0,0.23163228411340772,3.0851063829787235,145,16611.637999201885,94,D
