date,scenario,industry_pct,defense_pct,cash_pct,num_industry,num_defense,num_positions,top1_weight,top2_weight,top3_weight,top4_weight,top5_weight,weight_order_top4,score_rank_1_weight,score_rank_2_weight,score_rank_3_weight,score_rank_4_weight,score_rank_1_4_weight,full_position,cash_gt_10pct,cash_gt_20pct
2020-11-12,D,0.9999880202771846,0.0,1.1979722815202223e-05,4,0,4,0.2543750342032805,0.2504029264652769,0.24881187446815325,0.24639818514047396,0.0,0.9999880202771846,0.2504029264652769,0.2543750342032805,0.24639818514047396,0.24881187446815325,0.9999880202771846,True,False,False
2020-11-13,D,0.9999879779273406,0.0,1.2022072659401353e-05,4,0,4,0.2564632635974669,0.2547581644177553,0.24527072426006385,0.24349582565205458,0.0,0.9999879779273406,0.2547581644177553,0.2564632635974669,0.24349582565205458,0.24527072426006385,0.9999879779273406,True,False,False
2020-11-16,D,0.9999881619035041,0.0,1.183809649580227e-05,4,0,4,0.26281880175706346,0.2497286688124621,0.24723399377459934,0.24020669755937923,0.0,0.9999881619035041,0.26281880175706346,0.2497286688124621,0.24723399377459934,0.24020669755937923,0.9999881619035041,True,False,False
2020-11-17,D,0.9999881587814347,0.0,1.1841218565139786e-05,4,0,4,0.2586158272455347,0.2537762523910209,0.2440466407054823,0.24354943843939672,0.0,0.9999881587814347,0.2586158272455347,0.2440466407054823,0.2537762523910209,0.24354943843939672,0.9999881587814347,True,False,False
2020-11-18,D,0.9999881796901413,0.0,1.182030985866509e-05,4,0,4,0.2595807560736317,0.25075628602655925,0.24792067006232302,0.24173046752762742,0.0,0.9999881796901413,0.25075628602655925,0.2595807560736317,0.24173046752762742,0.24792067006232302,0.9999881796901413,True,False,False
2020-11-19,D,0.7528817239853587,0.0,0.24711827601464142,3,0,3,0.25579633405724167,0.25172150660266673,0.2453638833254503,0.0,0.0,0.7528817239853587,0.25579633405724167,0.25172150660266673,0.2453638833254503,0.0,0.7528817239853587,False,True,True
2020-11-20,D,0.7552457207555123,0.0,0.24475427924448773,3,0,3,0.2629202950992794,0.24827177439608886,0.24405365126014414,0.0,0.0,0.7552457207555123,0.2629202950992794,0.24827177439608886,0.24405365126014414,0.0,0.7552457207555123,False,True,True
2020-11-23,D,0.7579932821297163,0.0,0.2420067178702838,3,0,3,0.2683189815280741,0.24651473218704809,0.2431595684145941,0.0,0.0,0.7579932821297163,0.2683189815280741,0.24651473218704809,0.2431595684145941,0.0,0.7579932821297163,False,True,True
2020-11-24,D,0.759352739710639,0.0,0.24064726028936118,3,0,3,0.2701330241276711,0.24808880846672052,0.24113090711624738,0.0,0.0,0.759352739710639,0.2701330241276711,0.24808880846672052,0.24113090711624738,0.0,0.759352739710639,False,True,True
2020-11-25,D,0.7555041734261152,0.0,0.24449582657388486,3,0,3,0.2668606895651222,0.2499751846711729,0.2386682991898201,0.0,0.0,0.7555041734261152,0.2668606895651222,0.2499751846711729,0.2386682991898201,0.0,0.7555041734261152,False,True,True
2020-11-26,D,0.9999825983527701,0.0,1.74016472298886e-05,4,0,4,0.2653139725815921,0.24680205482057047,0.24404101530954317,0.24382555564106442,0.0,0.9999825983527701,0.2653139725815921,0.24680205482057047,0.24382555564106442,0.24404101530954317,0.9999825983527701,True,False,False
2020-11-27,D,0.9999827811252018,0.0,1.7218874798226496e-05,4,0,4,0.2614207922072659,0.24769557182212712,0.246087842369431,0.24477857472637782,0.0,0.9999827811252018,0.2614207922072659,0.24477857472637782,0.24769557182212712,0.246087842369431,0.9999827811252018,True,False,False
2020-11-30,D,0.9999828470116052,0.0,1.7152988394690967e-05,4,0,4,0.26400299425180906,0.24667700743778542,0.2456549038722402,0.24364794144977053,0.0,0.9999828470116052,0.24667700743778542,0.26400299425180906,0.24364794144977053,0.2456549038722402,0.9999828470116052,True,False,False
2020-12-01,D,0.9999830984243077,0.0,1.6901575692263456e-05,4,0,4,0.2623057862113203,0.24780200316400497,0.2465928530681077,0.24328245598087475,0.0,0.9999830984243077,0.2623057862113203,0.2465928530681077,0.24780200316400497,0.0,0.7567006424434329,True,False,False
2020-12-02,D,0.9999831275563079,0.0,1.687244369208783e-05,4,0,4,0.26022724875791564,0.24743283342648284,0.2473748851170765,0.24494816025483293,0.0,0.9999831275563079,0.24494816025483293,0.26022724875791564,0.2473748851170765,0.0,0.7525502941298251,True,False,False
2020-12-03,D,0.9999828618473517,0.0,1.7138152648236324e-05,4,0,4,0.2560651672054995,0.2486123558789523,0.24818619564897035,0.24711914311392957,0.0,0.9999828618473517,0.2560651672054995,0.24818619564897035,0.2486123558789523,0.0,0.7528637187334222,True,False,False
