date,ticker,is_defense,is_gold,is_bond,shares,close_prev,close_t,contribution,market_value,scenario
2023-03-01,159996.SZ,False,False,False,238800,1.134000,1.147000,0.002227,270799.200000,B0.4
2023-03-01,515880.SH,False,False,False,909300,0.310568,0.318899,0.005433,282399.804684,B0.4
2023-03-02,512980.SH,False,False,False,430000,0.698000,0.709000,0.003314,300140.000000,B0.4
2023-03-02,515230.SH,False,False,False,331200,0.950000,0.957000,0.001624,314640.000000,B0.4
2023-03-02,159996.SZ,False,False,False,238800,1.147000,1.138000,-0.001506,273903.600000,B0.4
2023-03-02,515880.SH,False,False,False,909300,0.318899,0.321232,0.001486,289974.906741,B0.4
2023-03-03,159996.SZ,False,False,False,238800,1.138000,1.137000,-0.000167,271754.400000,B0.4
2023-03-03,515880.SH,False,False,False,909300,0.321232,0.320565,-0.000425,292095.935316,B0.4
2023-03-06,159996.SZ,False,False,False,238800,1.137000,1.130000,-0.001173,271515.600000,B0.4
2023-03-06,515880.SH,False,False,False,909300,0.320565,0.322898,0.001488,291489.927152,B0.4
2023-03-07,159996.SZ,False,False,False,238800,1.130000,1.106000,-0.004020,269844.000000,B0.4
2023-03-07,515880.SH,False,False,False,909300,0.322898,0.311901,-0.007013,293610.955728,B0.4
2023-03-08,159996.SZ,False,False,False,238800,1.106000,1.102000,-0.000677,264112.800000,B0.4
2023-03-08,515880.SH,False,False,False,909300,0.311901,0.317566,0.003653,283611.821013,B0.4
2023-03-09,159996.SZ,False,False,False,238800,1.102000,1.101000,-0.000169,263157.600000,B0.4
2023-03-09,515880.SH,False,False,False,909300,0.317566,0.320565,0.001928,288762.890411,B0.4
2023-03-10,515880.SH,False,False,False,909300,0.320565,0.315234,-0.003426,291489.927152,B0.4
2023-03-10,512660.SH,False,False,False,242900,1.156000,1.138000,-0.003090,280792.400000,B0.4
2023-03-10,518880.SH,True,True,False,70000,4.033000,4.061000,0.001385,282310.000000,B0.4
2023-03-10,511010.SH,True,False,True,2200,126.575000,126.624000,0.000076,278465.000000,B0.4
2023-03-13,515880.SH,False,False,False,909300,0.315234,0.322898,0.004950,286641.861835,B0.4
2023-03-13,512660.SH,False,False,False,242900,1.138000,1.150000,0.002070,276420.200000,B0.4
2023-03-13,518880.SH,True,True,False,70000,4.061000,4.089000,0.001392,284270.000000,B0.4
2023-03-13,511010.SH,True,False,True,2200,126.624000,126.619000,-0.000008,278572.800000,B0.4
2023-03-14,515880.SH,False,False,False,909300,0.322898,0.320565,-0.001494,293610.955728,B0.4
2023-03-14,512660.SH,False,False,False,242900,1.150000,1.144000,-0.001027,279335.000000,B0.4
2023-03-14,518880.SH,True,True,False,70000,4.089000,4.142000,0.002613,286230.000000,B0.4
2023-03-14,511010.SH,True,False,True,2200,126.619000,126.662000,0.000067,278561.800000,B0.4
2023-03-15,515880.SH,False,False,False,909300,0.320565,0.318566,-0.001280,291489.927152,B0.4
2023-03-15,512660.SH,False,False,False,242900,1.144000,1.142000,-0.000342,277877.600000,B0.4
2023-03-15,518880.SH,True,True,False,70000,4.142000,4.139000,-0.000148,289940.000000,B0.4
2023-03-15,511010.SH,True,False,True,2200,126.662000,126.631000,-0.000048,278656.400000,B0.4
2023-03-16,515880.SH,False,False,False,909300,0.318566,0.314567,-0.002565,289671.902658,B0.4
2023-03-16,512660.SH,False,False,False,242900,1.142000,1.112000,-0.005142,277391.800000,B0.4
2023-03-16,518880.SH,True,True,False,70000,4.139000,4.174000,0.001729,289730.000000,B0.4
2023-03-16,511010.SH,True,False,True,2200,126.631000,126.690000,0.000092,278588.200000,B0.4
2023-03-17,515880.SH,False,False,False,909300,0.314567,0.327896,0.008569,286035.853671,B0.4
2023-03-17,518880.SH,True,True,False,70000,4.174000,4.198000,0.001188,292180.000000,B0.4
2023-03-17,511010.SH,True,False,True,2200,126.690000,126.760000,0.000109,278718.000000,B0.4
2023-03-17,515230.SH,False,False,False,300100,0.945000,0.993000,0.010184,283594.500000,B0.4
2023-03-20,515880.SH,False,False,False,909300,0.327896,0.332228,0.002730,298156.016962,B0.4
2023-03-20,518880.SH,True,True,False,70000,4.198000,4.327000,0.006258,293860.000000,B0.4
2023-03-20,511010.SH,True,False,True,2200,126.760000,126.845000,0.000130,278872.000000,B0.4
2023-03-20,515230.SH,False,False,False,300100,0.993000,0.966000,-0.005616,297999.300000,B0.4
2023-03-21,515880.SH,False,False,False,909300,0.332228,0.334228,0.001256,302095.070032,B0.4
2023-03-21,518880.SH,True,True,False,70000,4.327000,4.286000,-0.001982,302890.000000,B0.4
2023-03-21,511010.SH,True,False,True,2200,126.845000,126.783000,-0.000094,279059.000000,B0.4
2023-03-21,515230.SH,False,False,False,300100,0.966000,0.977000,0.002280,289896.600000,B0.4
2023-03-22,515880.SH,False,False,False,909300,0.334228,0.349889,0.009821,303913.094525,B0.4
2023-03-22,518880.SH,True,True,False,70000,4.286000,4.223000,-0.003041,300020.000000,B0.4
2023-03-22,511010.SH,True,False,True,2200,126.783000,126.777000,-0.000009,278922.600000,B0.4
2023-03-22,515230.SH,False,False,False,300100,0.977000,0.984000,0.001449,293197.700000,B0.4
2023-03-23,515880.SH,False,False,False,909300,0.349889,0.361885,0.007462,318154.286392,B0.4
2023-03-23,518880.SH,True,True,False,70000,4.223000,4.253000,0.001436,295610.000000,B0.4
2023-03-23,511010.SH,True,False,True,2200,126.777000,126.751000,-0.000039,278909.400000,B0.4
2023-03-23,515230.SH,False,False,False,300100,0.984000,1.020000,0.007390,295298.400000,B0.4
2023-03-24,515880.SH,False,False,False,909300,0.361885,0.362219,0.000202,329062.433354,B0.4
2023-03-24,511010.SH,True,False,True,2100,126.751000,126.697000,-0.000076,266177.100000,B0.4
2023-03-24,515230.SH,False,False,False,300100,1.020000,1.059000,0.007794,306102.000000,B0.4
2023-03-24,512980.SH,False,False,False,373100,0.787000,0.820000,0.008199,293629.700000,B0.4
2023-03-24,512480.SH,False,False,False,313100,0.979000,0.971000,-0.001668,306524.900000,B0.4
2023-03-27,515880.SH,False,False,False,909300,0.362219,0.361885,-0.000199,329365.437437,B0.4
2023-03-27,511010.SH,True,False,True,2100,126.697000,126.707000,0.000014,266063.700000,B0.4
2023-03-27,515230.SH,False,False,False,300100,1.059000,1.086000,0.005319,317805.900000,B0.4
2023-03-27,512980.SH,False,False,False,373100,0.820000,0.828000,0.001959,305942.000000,B0.4
2023-03-27,512480.SH,False,False,False,313100,0.971000,0.959000,-0.002466,304020.100000,B0.4
2023-03-28,515880.SH,False,False,False,909300,0.361885,0.352222,-0.005741,329062.433354,B0.4
2023-03-28,511010.SH,True,False,True,2100,126.707000,126.731000,0.000033,266084.700000,B0.4
2023-03-28,515230.SH,False,False,False,300100,1.086000,1.070000,-0.003137,325908.600000,B0.4
2023-03-28,512980.SH,False,False,False,373100,0.828000,0.814000,-0.003413,308926.800000,B0.4
2023-03-28,512480.SH,False,False,False,313100,0.959000,0.931000,-0.005728,300262.900000,B0.4
2023-03-29,515880.SH,False,False,False,909300,0.352222,0.353555,0.000806,320275.314968,B0.4
2023-03-29,511010.SH,True,False,True,2100,126.731000,126.759000,0.000039,266135.100000,B0.4
2023-03-29,515230.SH,False,False,False,300100,1.070000,1.071000,0.000200,321107.000000,B0.4
2023-03-29,512980.SH,False,False,False,373100,0.814000,0.806000,-0.001986,303703.400000,B0.4
2023-03-29,512480.SH,False,False,False,313100,0.931000,0.960000,0.006041,291496.100000,B0.4
2023-03-30,515880.SH,False,False,False,909300,0.353555,0.346557,-0.004212,321487.331297,B0.4
2023-03-30,511010.SH,True,False,True,2100,126.759000,126.794000,0.000049,266193.900000,B0.4
2023-03-30,515230.SH,False,False,False,300100,1.071000,1.055000,-0.003179,321407.100000,B0.4
2023-03-30,512980.SH,False,False,False,373100,0.806000,0.799000,-0.001729,300718.600000,B0.4
