date,nav,cash,positions_value,industry_value,defense_value,num_positions,bench_price,max_total_position,positions_pct,positions_detail,daily_return,cumulative_return,bench_return,peak,drawdown,regime_id,regime_name,confidence,reason
2024-07-01,1463050.9835588632,1195058.9835588632,267992.0,0.0,267992.0,1,3478.1827,1.0,{'511010.SH': 0.18317338425767707},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.254, 'market_value': 267992.0}}",-0.00031021418109278276,0.4630509835588632,-0.05116789831498403,1650728.8366866494,-0.11369393261736074,4.0,熊市,0.915865884179182,沪深300低于MA50 96.68%，中期趋势向下；MA50斜率向下（-0.4344）；市场宽度低（19% 行业ETF站上MA50）
2024-07-02,1463296.9835588632,1195058.9835588632,268238.0,0.0,268238.0,1,3471.7857,1.0,{'511010.SH': 0.18331070385153278},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.254, 'market_value': 268238.0}}",0.00016814178231960852,0.4632969835588632,-0.05291297023270669,1650728.8366866494,-0.11354490753551036,4.0,熊市,0.8918944052592718,沪深300低于MA50 97.16%，中期趋势向下；MA50斜率向下（-1.7484）；市场宽度低（25% 行业ETF站上MA50）
2024-07-03,1463720.9835588632,1195058.9835588632,268662.0,0.0,268662.0,1,3463.4141,1.0,{'511010.SH': 0.18354727643979002},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.254, 'market_value': 268662.0}}",0.00028975662819230585,0.46372098355886315,-0.055196703868224506,1650728.8366866494,-0.11328805129687394,4.0,熊市,0.8982917175174413,沪深300低于MA50 97.03%，中期趋势向下；MA50斜率向下（-0.6586）；市场宽度低（19% 行业ETF站上MA50）
2024-07-04,1463574.9835588632,1195058.9835588632,268516.0,0.0,268516.0,1,3445.8128,1.0,{'511010.SH': 0.18346583059726138},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268516.0}}",-9.974578600702166e-05,0.4635749835588632,-0.0599982568376497,1650728.8366866494,-0.11337649707715913,4.0,熊市,0.9071107231797746,沪深300低于MA50 96.86%，中期趋势向下；MA50斜率向下（-1.8723）；市场宽度低（25% 行业ETF站上MA50）
2024-07-05,1463362.9835588632,1195058.9835588632,268304.0,0.0,268304.0,1,3431.0605,1.0,{'511010.SH': 0.18334753783882876},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268304.0}}",-0.0001448507950611022,0.4633629835588631,-0.0640226158265228,1650728.8366866494,-0.11350492519647734,4.0,熊市,0.9291381294659815,沪深300低于MA50 96.42%，中期趋势向下；MA50斜率向下（-2.1278）；市场宽度低（19% 行业ETF站上MA50）
2024-07-08,1462828.9835588632,1195058.9835588632,267770.0,0.0,267770.0,1,3401.7604,1.0,{'511010.SH': 0.18304942205106722},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 267770.0}}",-0.0003649128794425138,0.46282898355886326,-0.07201554715315528,1650728.8366866494,-0.11382841866683546,4.0,熊市,0.9470937159249524,沪深300低于MA50 96.06%，中期趋势向下；MA50斜率向下（-1.9170）；市场宽度低（6% 行业ETF站上MA50）
2024-07-09,1463164.9835588632,1195058.9835588632,268106.0,0.0,268106.0,1,3439.8111,1.0,{'511010.SH': 0.18323702590796323},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268106.0}}",0.00022969192145927408,0.46316498355886315,-0.06163549274957669,1650728.8366866494,-0.11362487221357642,4.0,熊市,0.95,沪深300低于MA50 95.29%，中期趋势向下；MA50斜率向下（-1.9969）；市场宽度低（6% 行业ETF站上MA50）
2024-07-10,1463336.9835588632,1195058.9835588632,268278.0,0.0,268278.0,1,3428.9657,1.0,{'511010.SH': 0.18333302787683453},"{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268278.0}}",0.00011755338730257137,0.4633369835588632,-0.06459406754658614,1650728.8366866494,-0.11352067581488429,4.0,熊市,0.9298168226105566,沪深300低于MA50 96.40%，中期趋势向下；MA50斜率向下（-2.0893）；市场宽度低（19% 行业ETF站上MA50）
2024-07-11,1460480.8395526723,902321.5938576827,558159.2456949897,289895.2456949897,268264.0,2,3468.169,1.0,"{'511010.SH': 0.18368197153628255, '512800.SH': 0.1984930153440295}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268264.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.63785875070343, 'market_value': 289895.2456949897}}",-0.001951801969252931,0.46048083955267227,-0.05389958921110716,1650728.8366866494,-0.1152509079055308,4.0,熊市,0.9422841452977185,沪深300低于MA50 96.15%，中期趋势向下；MA50斜率向下（-1.6362）；市场宽度低（25% 行业ETF站上MA50）
2024-07-12,1466664.5959961168,902321.5938576827,564343.0021384342,295863.0021384342,268480.0,2,3472.4014,1.0,"{'511010.SH': 0.18305480389513054, '512800.SH': 0.20172505898493615}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268480.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.63785875070343, 'market_value': 295863.0021384342}}",0.004234055165926343,0.46666459599611665,-0.052745010129573666,1650728.8366866494,-0.11150483144159959,4.0,熊市,0.7841493292775563,沪深300低于MA50 97.32%，中期趋势向下；MA50斜率向下（-2.0263）
