date,159530.SZ,159697.SZ,159865.SZ,159928.SZ,159996.SZ,511010.SH,512000.SH,512010.SH,512400.SH,512480.SH,512660.SH,512800.SH,512980.SH,515230.SH,515880.SH,516110.SH,516160.SH,518880.SH,000300.SH,status
2019-11-01,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-04,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-05,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-06,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-07,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-08,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-11,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-12,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-13,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-14,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-15,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-18,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-19,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-20,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-21,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-22,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-25,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-11-26,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
