year,total_return,monthly_win_rate,sharpe,max_drawdown,avg_industry_pct,avg_defense_pct,avg_cash_pct,n_trades,total_commission,scenario,period
2023,0.05417176690244263,0.5,0.4384994504730608,-0.12923277156506996,0.46570549204449485,0.0,0.5342945079555051,79,6791.422357002869,B,验证期
2024,0.16204854830789173,0.3333333333333333,0.9156095312776134,-0.10822322628623092,0.45813103996788507,0.0,0.541868960032115,76,6661.6162357944595,B,验证期
2019,0.09957427638187011,0.6,2.136811834643881,-0.057548482624254466,0.5505157834295359,0.0,0.4494842165704641,32,1986.5260510314913,B,分析期
2020,0.16011387813653033,0.5,1.0085179978865568,-0.13494492780731085,0.5632285668058085,0.0,0.43677143319419154,76,5500.519256299929,B,分析期
2021,-0.02010297661862326,0.4166666666666667,0.19440332244590788,-0.15046868768260593,0.5756981465519362,0.0,0.42430185344806376,103,8182.983491434201,B,分析期
2022,-0.018679705197674923,0.3333333333333333,-0.04032455163422724,-0.12387148692476621,0.3343812665336171,0.0,0.6656187334663828,58,4657.789735061814,B,分析期
2023,0.05417176690244263,0.5,0.41234985889270453,-0.1292327715650698,0.46570549204449485,0.0,0.5342945079555051,79,6791.422357002869,B,分析期
2024,0.16204854830789173,0.3333333333333333,0.9156095312776134,-0.10822322628623092,0.45813103996788507,0.0,0.541868960032115,76,6661.6162357944595,B,分析期
2019,0.09631852349067604,0.6,2.0500718444716646,-0.06025819662211481,0.5511273136863285,0.11393682097900773,0.3349358653346639,41,2488.209272990781,C,研究期
2020,0.1789736905597099,0.5,1.0881341528083965,-0.1316270095803212,0.5618479902811462,0.11134335911702571,0.3268086506018281,98,6604.490631800046,C,研究期
2021,-0.0215936990556711,0.4166666666666667,0.18355432011365366,-0.15021891352299294,0.5756545186149983,0.123248340298432,0.3010971410865697,122,9505.602421110725,C,研究期
2022,-0.004338054618768683,0.4166666666666667,0.08814046817229917,-0.11536347487511327,0.3342557023829934,0.13671015122264427,0.5290341463943623,74,5715.497241897546,C,研究期
2023,0.06776977745541002,0.4166666666666667,0.5242589802508723,-0.13128899888159623,0.46521773562635726,0.15267394013435118,0.3821083242392916,101,8716.45444033829,C,验证期
2024,0.1714477469087614,0.4166666666666667,0.9622100465789855,-0.11007811335468769,0.4575458490114936,0.17499021022212471,0.3674639407663817,86,7589.959037103351,C,验证期
2019,0.09631852349067604,0.6,2.0500718444716646,-0.06025819662211481,0.5511273136863285,0.11393682097900773,0.3349358653346639,41,2488.209272990781,C,分析期
2020,0.1789736905597099,0.5,1.0881341528083965,-0.1316270095803212,0.5618479902811462,0.11134335911702571,0.3268086506018281,98,6604.490631800046,C,分析期
2021,-0.0215936990556711,0.4166666666666667,0.18355432011365366,-0.15021891352299294,0.5756545186149983,0.123248340298432,0.3010971410865697,122,9505.602421110725,C,分析期
2022,-0.004338054618768683,0.4166666666666667,0.08814046817229917,-0.11536347487511327,0.3342557023829934,0.13671015122264427,0.5290341463943623,74,5715.497241897546,C,分析期
2023,0.06776977745541002,0.4166666666666667,0.4983983773277128,-0.131288998881596,0.46521773562635726,0.15267394013435118,0.3821083242392916,101,8716.45444033829,C,分析期
2024,0.1714477469087614,0.4166666666666667,0.9622100465789855,-0.11007811335468769,0.4575458490114936,0.17499021022212471,0.3674639407663817,86,7589.959037103351,C,分析期
2019,0.12434729038205394,0.6,2.1607148239951592,-0.07020316199441107,0.6790979067848799,0.0,0.32090209321512003,32,2473.6259721778483,D,研究期
2020,0.19924774054293426,0.5,1.056867423239129,-0.15818285169277915,0.6804991748848292,0.0,0.31950082511517075,76,6958.592979720353,D,研究期
2021,-0.029102560663099908,0.4166666666666667,0.18774031953512788,-0.18282775986592484,0.7072436105220038,0.0,0.2927563894779962,103,10685.409972063037,D,研究期
2022,-0.023612183988822033,0.3333333333333333,-0.03189839606308215,-0.14914725134060206,0.4107566648298479,0.0,0.589243335170152,58,6110.129492449687,D,研究期
2023,0.06416565891060233,0.5,0.44522934665548464,-0.15495373736948934,0.5688386572256485,0.0,0.43116134277435153,79,9008.063959021594,D,验证期
2024,0.19829146074094006,0.3333333333333333,0.9339983375111948,-0.12553105440190526,0.5604569271547172,0.0,0.4395430728452829,76,8847.196867760238,D,验证期
2019,0.12434729038205394,0.6,2.1607148239951592,-0.07020316199441107,0.6790979067848799,0.0,0.32090209321512003,32,2473.6259721778483,D,分析期
2020,0.19924774054293426,0.5,1.056867423239129,-0.15818285169277915,0.6804991748848292,0.0,0.31950082511517075,76,6958.592979720353,D,分析期
2021,-0.029102560663099908,0.4166666666666667,0.18774031953512788,-0.18282775986592484,0.7072436105220038,0.0,0.2927563894779962,103,10685.409972063037,D,分析期
2022,-0.023612183988822033,0.3333333333333333,-0.03189839606308215,-0.14914725134060206,0.4107566648298479,0.0,0.589243335170152,58,6110.129492449687,D,分析期
2023,0.06416565891060233,0.5,0.4192932063565881,-0.15495373736948967,0.5688386572256485,0.0,0.43116134277435153,79,9008.063959021594,D,分析期
2024,0.19829146074094006,0.3333333333333333,0.9339983375111948,-0.12553105440190526,0.5604569271547172,0.0,0.4395430728452829,76,8847.196867760238,D,分析期
