date,year,ret_a,ret_c,diff_ret,ind_pct_a,def_pct_a,ind_pct_c,def_pct_c,n_ind_a,n_ind_c,n_def_a,n_def_c,has_5th_a,has_5th_c,has_def_c,regime_name
2021-05-19,2021,0.0028896759487950785,0.002956557814666416,6.688186587133771e-05,0.8101863687691224,0.18005659303582572,0.8149212888439892,0.18240037588451663,4,4,1,1,False,False,True,熊市
2021-05-20,2021,-0.0035112607248590777,-0.005666544198857482,-0.002155283473998404,0.9999410777581387,0.0,0.8136075091281079,0.18369889220449487,5,4,0,1,True,False,True,熊市
2021-05-21,2021,-0.005438566026180758,-0.003309540963720159,0.002129025062460599,0.9999407555533036,0.0,0.8128020660638476,0.18449539109250795,5,4,0,1,True,False,True,熊市
2021-05-24,2021,-0.0004710387179492903,-0.0017279860658488966,-0.0012569473478996063,0.9999407276337242,0.0,0.8124382115014633,0.18485456761492822,5,4,0,1,True,False,True,熊市
2021-05-25,2021,0.02313571893953381,0.016903755943312948,-0.006231962996220863,0.9999420679337271,0.0,0.8158722782873706,0.1814655023356372,5,4,0,1,True,False,True,熊市
2021-05-26,2021,0.0006176993148749865,0.001379585451469545,0.0007618861365945584,0.9999421036962343,0.0,0.8160387176807915,0.18130273064143304,5,4,0,1,True,False,True,熊市
2021-05-27,2021,0.003619477085142764,0.0026772105833614557,-0.0009422665017813081,0.9999873352219677,0.0,0.816312549756138,0.18068214472982708,5,4,0,1,True,False,True,熊市
2021-05-28,2021,0.003354790837156507,0.00537721524746293,0.0020224244103064226,0.9999873775675884,0.0,0.8172979777751742,0.17971279045345018,5,4,0,1,True,False,True,熊市
2021-05-31,2021,0.019040064651163036,0.018208493849788177,-0.0008315708013748591,0.9999876134090803,0.0,0.8209022240882741,0.17616200019444272,5,4,0,1,True,False,True,熊市
2021-06-01,2021,0.0030387212034554967,0.002351271443686631,-0.0006874497597688656,0.9999876509344476,0.0,0.8210752961848984,0.17599581471113038,5,4,0,1,True,False,True,弱牛
2021-06-02,2021,-0.015124927800612586,-0.013243700026507321,0.0018812277741052652,0.9999874612873236,0.0,0.8188012710910516,0.17823052986724988,5,4,0,1,True,False,True,弱牛
2021-06-03,2021,-0.006606531888612155,-0.007327738771675918,-0.000721206883063763,0.9999873778990109,0.0,0.8174920478483889,0.17951784236650864,5,4,0,1,True,False,True,弱牛
2021-06-04,2021,0.0052770334685092735,0.003723112934396644,-0.0015539205341126294,0.9999874441566167,0.0,0.8180961699540088,0.17892481148343084,5,4,0,1,True,False,True,弱牛
2021-06-07,2021,0.0008051975088672059,0.0014794041259278412,0.0006742066170606353,0.9999874542584166,0.0,0.8185712471280633,0.17845413497137166,5,4,0,1,True,False,True,弱牛
2021-06-08,2021,-0.015809752354162043,-0.010381409724641744,0.0054283426295203,0.9999872527271902,0.0,0.8166379981916443,0.18035617923206637,5,4,0,1,True,False,True,弱牛
2021-06-09,2021,0.004327153464392053,0.00356915615000708,-0.0007579973143849728,0.9999873076489412,0.0,0.8173439340521558,0.17966093346706896,5,4,0,1,True,False,True,弱牛
2021-06-10,2021,0.0230566121338609,0.023258562901531388,0.00020195076767048903,0.9999377271720844,0.0,0.8191471732660277,0.0,5,4,0,0,True,False,False,弱牛
2021-06-11,2021,-0.011685496566535725,-0.00493065024342676,0.006754846323108965,0.9999369908792198,0.0,0.8182510326760493,0.0,5,4,0,0,True,False,False,弱牛
2021-06-15,2021,-0.002392434455047221,-0.003086495185982252,-0.0006940607309350311,0.9999368397725155,0.0,0.8176883285798626,0.0,5,4,0,0,True,False,False,弱牛
