date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2023-10-12,159697.SZ,SELL,0.975,305100,297472.5,89.24175,-0.025000000000000022,调出候选列表
2023-10-12,512800.SH,SELL,0.56431738885763,540600,305069.9804164348,91.52099412493044,0.0,调出候选列表
2023-10-12,512010.SH,BUY,0.439,688300,302163.7,90.64911,0.0,行业买入
2023-10-19,512010.SH,SELL,0.418,688300,287709.39999999997,86.31281999999999,-0.04783599088838273,调出候选列表
2023-10-26,518880.SH,BUY,4.584,65200,298876.8,89.66304,0.0,防御填充
2023-11-09,518880.SH,SELL,4.534,65200,295616.8,88.68503999999999,-0.010907504363001707,调出候选列表
2023-11-09,512980.SH,BUY,0.796,375000,298500.0,89.55,0.0,行业买入
2023-11-09,512010.SH,BUY,0.444,672300,298501.2,89.55036,0.0,行业买入
2023-11-09,512480.SH,BUY,0.88,339200,298496.0,89.54879999999999,0.0,行业买入
2023-11-09,511010.SH,BUY,129.562,2300,297992.60000000003,89.39778,0.0,防御填充
2023-11-16,159865.SZ,BUY,0.658,449200,295573.60000000003,88.67208000000001,0.0,行业买入
2023-11-23,512010.SH,SELL,0.433,672300,291105.9,87.33177,-0.024774774774774796,调出候选列表
2023-11-23,512480.SH,SELL,0.839,339200,284588.8,85.37664,-0.046590909090909134,调出候选列表
2023-11-23,511010.SH,SELL,129.494,2300,297836.2,89.35086,-0.0005248452478351063,调出候选列表
2023-11-23,512660.SH,BUY,0.993,297500,295417.5,88.62525,0.0,行业买入
2023-11-23,515230.SH,BUY,0.8,369200,295360.0,88.60799999999999,0.0,行业买入
2023-11-30,512980.SH,SELL,0.754,375000,282750.0,84.82499999999999,-0.05276381909547743,调出候选列表
2023-11-30,512660.SH,SELL,0.984,297500,292740.0,87.82199999999999,-0.009063444108761337,调出候选列表
2023-11-30,515230.SH,SELL,0.772,369200,285022.4,85.50672,-0.03500000000000003,调出候选列表
2023-12-07,159865.SZ,SELL,0.681,449200,305905.2,91.77156,0.03495440729483286,调出候选列表
2023-12-07,518880.SH,BUY,4.585,63300,290230.5,87.06915,0.0,防御填充
2023-12-14,518880.SH,SELL,4.59,63300,290547.0,87.16409999999999,0.0010905125408941971,调出候选列表
2023-12-14,512980.SH,BUY,0.814,356600,290272.39999999997,87.08171999999998,0.0,行业买入
2023-12-14,511010.SH,BUY,129.895,2200,285769.0,85.7307,0.0,防御填充
2023-12-21,512980.SH,SELL,0.765,356600,272799.0,81.8397,-0.06019656019656012,调出候选列表
2024-01-04,512400.SH,BUY,0.92311054827145,310900,286995.0694575938,86.09852083727813,0.0,行业买入
2024-01-11,512400.SH,SELL,0.90255347349552,310900,280603.87490975717,84.18116247292714,-0.022269353128315714,调出候选列表
2024-01-11,159697.SZ,BUY,0.935,305700,285829.5,85.74884999999999,0.0,行业买入
2024-01-18,159697.SZ,SELL,0.925,305700,282772.5,84.83175,-0.010695187165775409,调出候选列表
2024-01-25,512800.SH,BUY,0.54180472706809,526500,285260.1888013494,85.57805664040481,0.0,行业买入
2024-02-22,511010.SH,SELL,131.609,200,26321.800000000003,7.89654,0.013195273105200342,防御减持让路
2024-02-22,159996.SZ,BUY,1.068,272100,290602.8,87.18083999999999,0.0,行业买入
2024-02-22,159928.SZ,BUY,0.845,343900,290595.5,87.17864999999999,0.0,行业买入
2024-02-22,512000.SH,BUY,0.4245,684600,290612.7,87.18381,0.0,行业买入
2024-03-14,512800.SH,SELL,0.57032076533483,526500,300273.882948788,90.0821648846364,0.052631578947365476,调出候选列表
2024-03-14,512980.SH,BUY,0.759,387900,294416.1,88.32482999999999,0.0,行业买入
2024-03-21,512000.SH,SELL,0.4335,684600,296774.1,89.03222999999998,0.021201413427561856,调出候选列表
2024-03-21,159697.SZ,BUY,1.022,292000,298424.0,89.5272,0.0,行业买入
2024-03-28,159996.SZ,SELL,1.11,272100,302031.0,90.60929999999999,0.03932584269662925,调出候选列表
2024-03-28,159928.SZ,SELL,0.86,343900,295754.0,88.72619999999999,0.017751479289940846,调出候选列表
2024-03-28,512980.SH,SELL,0.721,387900,279675.89999999997,83.90276999999998,-0.05006587615283272,调出候选列表
2024-03-28,159697.SZ,SELL,0.998,292000,291416.0,87.42479999999999,-0.023483365949119393,调出候选列表
2024-03-28,159865.SZ,BUY,0.61,473500,288835.0,86.6505,0.0,行业买入
2024-03-28,512400.SH,BUY,0.97107705608195,297400,288798.316478772,86.63949494363159,0.0,行业买入
2024-03-28,512800.SH,BUY,0.58683005064716,492200,288837.75092853216,86.65132527855964,0.0,行业买入
2024-04-11,159865.SZ,SELL,0.615,473500,291202.5,87.36075,0.008196721311475417,调出候选列表
2024-04-11,159697.SZ,BUY,1.062,278000,295236.0,88.57079999999999,0.0,行业买入
2024-04-11,516110.SH,BUY,1.07,276000,295320.0,88.59599999999999,0.0,行业买入
2024-04-18,512800.SH,SELL,0.60033764772088,492200,295486.1902082172,88.64585706246515,0.023017902813299698,调出候选列表
2024-04-18,516110.SH,SELL,1.083,276000,298908.0,89.6724,0.01214953271028028,调出候选列表
2024-04-25,512400.SH,SELL,1.0180646555698,297400,302772.4285664585,90.83172856993755,0.048387096774207695,调出候选列表
