sell_date,ticker,sell_price,shares,amount,commission,pnl_pct,ret_5d,ret_10d,ret_20d,max_rise,max_fall,data_insufficient,rebuy_date,rebuy_price,days_to_rebuy,rebuy_pnl,rebuy_spread,rebuy_commission,primary,tags,is_round_trip,is_false_kill,is_avoid_loss,year,period,regime_name,regime_id
2023-02-16,159865.SZ,0.806,329700,265738.2,79.72146,-0.011042944785275947,0.014888337468982549,0.018610421836228186,0.0,0.028535980148883366,-0.03349875930521096,无,2023-07-13,0.7,99.0,-0.13151364764268003,-0.1060000000000001,90.195,中性,中性,False,False,False,2023,验证期,强牛,1.0
2023-02-16,512400.SH,1.1609852706786,228000,264704.64171472075,79.41139251441622,-0.014131338320885402,0.0008431703204365704,-0.0025295109612228917,-0.0564924114670845,0.016020236087688433,-0.08178752107922871,无,2023-07-13,1.0484108135723,99.0,-0.09696458684656672,-0.11257445710629987,90.20526639976069,有效避损,有效避损,False,False,True,2023,验证期,强牛,1.0
2023-02-23,512480.SH,0.875,305900,267662.5,80.29875,-0.003416856492027338,-0.00457142857142856,0.0,0.06628571428571428,0.11999999999999988,-0.02857142857142858,无,2023-03-23,0.933,20.0,0.06628571428571428,0.05800000000000005,87.63668999999999,震荡往返,"震荡往返,误杀卖飞",True,True,False,2023,验证期,强牛,1.0
2023-02-23,512660.SH,1.129,231900,261815.1,78.54453,-0.012248468941382339,0.013286093888396744,0.030115146147032812,-0.005314437555358764,0.051372896368467647,-0.021257750221434946,无,2023-03-09,1.163,10.0,0.030115146147032812,0.03400000000000003,84.74781,震荡往返,"震荡往返,误杀卖飞",True,True,False,2023,验证期,强牛,1.0
2023-03-02,512980.SH,0.697,430000,299710.0,89.913,0.11698717948717942,-0.004304160688665681,-0.011477761836441891,0.1492109038737448,0.20373027259684373,-0.031563845050215034,无,2023-03-23,0.783,15.0,0.1233859397417505,0.08600000000000008,87.64119,震荡往返,"震荡往返,误杀卖飞",True,True,False,2023,验证期,强牛,1.0
2023-03-02,515230.SH,0.948,331200,313977.6,94.19327999999999,0.17037037037037023,-0.01793248945147674,-0.0052742616033755185,0.13080168776371326,0.1656118143459917,-0.033755274261603296,无,2023-03-16,0.943,10.0,-0.0052742616033755185,-0.0050000000000000044,84.89828999999999,误杀卖飞,误杀卖飞,False,True,False,2023,验证期,强牛,1.0
2023-03-09,159996.SZ,1.102,238800,263157.60000000003,78.94728,-0.007207207207207213,-0.02268602540834863,-0.016333938294010864,0.0027223230490016626,0.023593466424682186,-0.03629764065335761,无,2023-04-13,1.116,24.0,0.012704174228675091,0.014000000000000012,80.08416,中性,中性,False,False,False,2023,验证期,强牛,1.0
2023-03-16,512660.SH,1.133,242900,275205.7,82.56170999999999,-0.025795356835769584,-0.008826125330979706,-0.04413062665489853,-0.02206531332744921,0.0044130626654896865,-0.0467784642541923,无,2023-06-29,1.093,69.0,-0.035304501323918824,-0.040000000000000036,89.48391,中性,中性,False,False,False,2023,验证期,强牛,1.0
2023-04-20,515230.SH,1.076,300100,322907.60000000003,96.87228,0.14103923647932146,-0.0901486988847584,-0.052044609665427566,-0.10408921933085513,0.0371747211895912,-0.12546468401487,无,2023-06-15,1.057,37.0,-0.017657992565055847,-0.019000000000000128,89.70758999999998,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-04-27,515880.SH,0.34589050632911,909300,314518.23740505974,94.35547122151792,0.12095032397407712,-0.0125240847784015,-0.019267822736015683,0.05009633911369282,0.07899807321774532,-0.05587668593448025,无,2023-06-08,0.37321518987342,27.0,0.07899807321774532,0.027324683544310002,89.68361012658282,误杀卖飞,"误杀卖飞,有效避损",False,True,True,2023,验证期,熊市,4.0
2023-04-27,512480.SH,0.936,313100,293061.60000000003,87.91848,0.0032154340836012887,-0.01175213675213671,-0.044871794871794934,-0.004273504273504258,0.03205128205128194,-0.06623931623931634,无,2023-11-09,0.88,129.0,-0.05982905982905984,-0.05600000000000005,86.592,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-04-27,159996.SZ,1.097,239200,262402.39999999997,78.72071999999999,-0.01702508960573488,-0.03281677301732,-0.02096627164995435,-0.03008204193254327,0.014585232452142272,-0.04740200546946216,无,2023-06-15,1.126,32.0,0.02643573381950759,0.028999999999999915,89.71967999999998,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-04-27,512000.SH,0.431,698700,301139.7,90.34191,-0.04961411245865495,0.08584686774941996,0.05916473317865445,-0.0058004640371229765,0.14153132250580036,-0.016241299303944357,无,2023-05-18,0.4535,12.0,0.05220417633410679,0.02250000000000002,91.493625,震荡往返,"震荡往返,误杀卖飞",True,True,False,2023,验证期,熊市,4.0
2023-05-04,512980.SH,0.975,373100,363772.5,109.13175,0.2452107279693486,-0.02871794871794875,-0.10974358974358978,-0.07282051282051283,0.04205128205128217,-0.17230769230769227,无,2023-05-11,0.947,5.0,-0.02871794871794875,-0.028000000000000025,93.83822999999998,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-05-25,512800.SH,0.53830275745639,560000,301449.5441755784,90.43486325267351,-0.005545286506461465,-0.0018587360594767288,0.024163568773235777,-0.004646840148710751,0.04368029739776125,-0.0195167286245439,无,2023-07-27,0.55931457512662,43.0,0.039033457249068926,0.02101181767022997,90.03846030388327,中性,中性,False,False,False,2023,验证期,熊市,4.0
2023-05-25,518880.SH,4.327,71000,307217.0,92.1651,-0.01726095843742894,0.010630922116940278,0.003235498035590423,0.006008782066096563,0.015021955165241518,-0.007395424081349633,无,2023-06-08,4.341,10.0,0.003235498035590423,0.014000000000000234,89.59823999999999,震荡往返,震荡往返,True,False,False,2023,验证期,熊市,4.0
2023-05-25,512000.SH,0.4295,672500,288838.75,86.651625,-0.05292171995589861,-0.005820721769499437,-0.01396973224679865,-0.025611175785797413,0.012805587892898762,-0.043073341094295725,无,2023-07-27,0.452,43.0,0.052386495925494714,0.02250000000000002,90.02483999999998,中性,中性,False,False,False,2023,验证期,熊市,4.0
2023-06-29,515230.SH,0.988,282900,279505.2,83.85155999999999,-0.06527909176915796,-0.013157894736842146,-0.045546558704453455,-0.06578947368421051,0.01720647773279338,-0.07793522267206476,无,2023-11-23,0.8,99.0,-0.1902834008097165,-0.18799999999999994,85.392,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-07-13,515880.SH,0.40720443037975,801000,326170.74873417977,97.85122462025392,0.09107142857143041,0.033551554828145536,-0.03191489361702271,-0.05400981996728216,0.08101472995088654,-0.06464811783960678,无,2024-12-26,0.46351993670886,354.0,0.13829787234041468,0.05631550632910998,104.06949618987323,误杀卖飞,"误杀卖飞,有效避损",False,True,True,2023,验证期,熊市,4.0
2023-07-13,159996.SZ,1.143,265600,303580.8,91.07423999999999,0.015097690941385548,0.0017497812773403787,0.0,-0.005249343832021025,0.02974628171478577,-0.02887139107611536,无,2024-02-22,1.068,147.0,-0.06561679790026242,-0.07499999999999996,84.07296,中性,中性,False,False,False,2023,验证期,熊市,4.0
2023-07-13,512660.SH,1.092,272900,298006.80000000005,89.40204,-0.0009149130832569898,-0.0009157509157510235,-0.012820512820512886,-0.03846153846153855,0.012820512820512775,-0.041208791208791395,无,2023-11-23,0.993,89.0,-0.09065934065934078,-0.09900000000000009,85.37813999999999,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-07-13,516160.SH,2.8308,88800,251375.04,75.41251199999999,0.009227220299884641,-0.035428571428571476,-0.03314285714285714,-0.02400000000000002,0.006857142857142895,-0.0605714285714285,无,2024-08-01,1.7437728,256.0,-0.384,-1.0870272,85.21817673599998,有效避损,有效避损,False,False,True,2023,验证期,熊市,4.0
2023-07-20,512400.SH,1.040579546991,286800,298438.2140770188,89.53146422310563,-0.007469654528472689,0.011288805268149016,0.01317027281280847,-0.03951081843834825,0.03480714957672859,-0.05079962370645863,无,2023-07-27,1.052326446863,5.0,0.011288805268149016,0.01174689987200006,90.00548100019238,震荡往返,"震荡往返,有效避损",True,False,True,2023,验证期,熊市,4.0
2023-07-27,516110.SH,1.099,297600,327062.39999999997,98.11871999999998,0.09353233830845781,0.022747952684258443,0.010009099181073733,-0.08098271155595993,0.05095541401273884,-0.08371246587807102,无,2023-08-10,1.11,10.0,0.010009099181073733,0.01100000000000012,90.4095,震荡往返,"震荡往返,有效避损,误杀卖飞",True,True,True,2023,验证期,熊市,4.0
2023-07-27,159697.SZ,0.995,299600,298102.0,89.4306,-0.01191658391261162,-0.0030150753768843908,-0.004020100502512558,-0.028140703517588017,0.019095477386934734,-0.03819095477386936,无,2023-09-14,1.0,35.0,0.005025125628140614,0.0050000000000000044,88.49999999999999,中性,中性,False,False,False,2023,验证期,熊市,4.0
2023-08-10,159865.SZ,0.702,429500,301509.0,90.4527,0.0028571428571428597,-0.027065527065526895,-0.06267806267806253,-0.04415954415954404,0.007122507122507171,-0.07122507122507116,无,2023-11-16,0.658,64.0,-0.06267806267806253,-0.04399999999999993,85.75056,有效避损,有效避损,False,False,True,2023,验证期,弱牛,2.0
2023-08-17,512800.SH,0.55731344963421,536600,299054.3970737171,89.71631912211512,-0.0035778175313184277,-0.005385996409327909,-0.01166965888687721,-0.0008976660682212811,0.05745062836625392,-0.017055655296223105,无,2023-09-21,0.56431738885763,25.0,0.012567324955134351,0.007003939223420019,88.47368022509923,误杀卖飞,误杀卖飞,False,True,False,2023,验证期,弱牛,2.0
2023-08-17,512400.SH,0.99946539743918,285100,284947.5848099102,85.48427544297306,-0.05023255813953894,-0.02938295788442935,-0.014691478942214675,0.000979431929437613,0.032321253672902506,-0.03819784524975833,无,2024-01-04,0.92311054827145,93.0,-0.07639569049950656,-0.07635484916772994,83.10764266087864,中性,中性,False,False,False,2023,验证期,弱牛,2.0
2023-08-17,159928.SZ,0.936,309400,289598.4,86.87952,-0.035051546391752494,-0.023504273504273532,-0.0010683760683760646,0.005341880341880323,0.04166666666666652,-0.02777777777777779,无,2024-02-22,0.845,122.0,-0.09722222222222232,-0.09100000000000008,84.08595,中性,中性,False,False,False,2023,验证期,弱牛,2.0
